Site name ,Fish identification,Collection Date,Sex,Age (years),Length (mm),Weight (gms),PFOS (ng/ml),PFDA (ng/ml),PFUnA (ng/ml),PFDoA (ng/ml),PFOSA (ng/ml),PFNA (ng/ml),PFBA (ng/ml),PFPeA (ng/ml),PFOA (ng/ml),Total PFAS
West Branch Mahantango Creek,SUSMA-173,5/28/2019,M,5,335,527,291,16,27.3,19.1,0.9,0.5,BD,BD,BD,354.8
West Branch Mahantango Creek,SUSMA-174,5/28/2019,M,4,340,540,270,15.1,29.1,18.4,1,BD,BD,BD,BD,333.6
West Branch Mahantango Creek,SUSMA-175,5/28/2019,M,5,331,544,285,14,25.9,16.1,0.6,BD,BD,BD,BD,341.6
West Branch Mahantango Creek,SUSMA-176,5/28/2019,M,3,363,676,442,22.8,36.1,22.2,1.2,1.1,BD,BD,BD,525.4
West Branch Mahantango Creek,SUSMA-177,5/28/2019,M,2,285,318,243,11.5,20,13,0.6,BD,BD,BD,BD,288.1
West Branch Mahantango Creek,SUSMA-178,5/28/2019,F,3,314,431,297,10.5,13.3,6.5,BD,BD,BD,BD,BD,327.3
West Branch Mahantango Creek,SUSMA-179,5/28/2019,M,3,344,534,238,12.6,20.9,13.8,0.7,BD,BD,BD,BD,286
Chillisquaque Creek,Chilli-81,4/27/2017,M,5,415,1050,515,24,40.6,29.6,1.1,BD,BD,BD,BD,610.3
Chillisquaque Creek,Chilli-82,4/27/2017,M,5,408,966,254,20,27.1,20.3,1.2,BD,BD,BD,BD,322.6
Chillisquaque Creek,Chilli-84,4/27/2017,F,5,397,797,126,11.8,10.3,7.1,1.8,BD,BD,BD,BD,157
Chillisquaque Creek,Chilli-85,4/27/2017,F,9,479,1879,365,18.5,15.3,8.3,1.5,0.8,BD,BD,BD,409.3
Chillisquaque Creek,Chilli-87,4/27/2017,F,7,443,1485,165,15.5,17,9.8,0.7,BD,BD,BD,BD,208
Chillisquaque Creek,Chilli-91,4/27/2017,F,5,389,1003,344,22.3,24.1,13.3,1.1,BD,BD,BD,BD,404.8
Chillisquaque Creek,Chilli-93,4/27/2017,M,7,443,1373,267,16.4,29.8,26,1.6,BD,BD,BD,BD,340.8
Chillisquaque Creek,Chilli-94,4/27/2017,F,6,446,1482,88.3,15.3,12.4,9.7,1.6,0.7,BD,BD,BD,127.9
Chillisquaque Creek,Chilli-95,4/27/2017,F,4,400,943,244,18.9,23.8,16,1.3,BD,BD,BD,BD,304
Chillisquaque Creek,Chilli-96,4/27/2017,M,10,468,1278,116,16.9,19.9,15.1,1.3,BD,BD,BD,BD,169.2
Chillisquaque Creek,Chilli-97,4/27/2017,F,11,453,1737,126,22.7,16.8,13.7,2.1,2,BD,BD,BD,183.3
Chillisquaque Creek,Chilli-98,4/27/2017,F,6,468,1583,113,13.1,11.5,9.1,2.4,0.9,BD,BD,BD,150.1
Chillisquaque Creek,Chilli-99,4/27/2017,F,4,372,761,244,15.9,17.1,11,1.5,0.6,BD,BD,BD,290.2
Chillisquaque Creek,Chilli-100,4/27/2017,F,5,389,1014,173,14.1,14.4,9,1.6,0.6,BD,BD,BD,212.7
South Branch Potomac Petersburg,SB1-146,4/30/2019,M,4,340,562,111,5.5,10.9,4.5,BD,BD,BD,BD,BD,131.9
South Branch Potomac Petersburg,SB1-147,4/30/2019,F,4,320,427,70.3,4.4,6.1,2.3,BD,BD,BD,BD,BD,83.1
South Branch Potomac Petersburg,SB1-148,4/30/2019,M,2,267,267,45.3,3.1,7.7,3.9,BD,BD,BD,BD,BD,60.1
South Branch Potomac Petersburg,SB1-149,4/30/2019,F,4,314,456,64.5,4.5,6.5,2.1,BD,BD,BD,BD,BD,77.7
South Branch Potomac Petersburg,SB1-150,4/30/2019,F,4,331,491,103,6.4,9.9,3.1,BD,0.5,BD,BD,BD,122.9
South Branch Potomac Petersburg,SB1-151,4/30/2019,M,3,343,567,118,6.2,11.7,5.2,BD,BD,BD,BD,BD,141.1
South Branch Potomac Petersburg,SB1-152,4/30/2019,M,4,318,500,88.3,6,11.4,4.4,BD,BD,BD,BD,BD,110.1
South Branch Potomac Petersburg,SB1-153,4/30/2019,M,2,288,324,74.7,5.3,12.5,4.8,BD,BD,BD,BD,BD,97.3
South Branch Potomac Petersburg,SB1-154,4/30/2019,F,4,266,272,74.8,4.9,7.5,2.6,BD,BD,BD,BD,BD,89.8
South Branch Potomac Petersburg,SB1-155,4/30/2019,M,2,248,215,99.2,7.2,12.5,3.8,BD,BD,BD,BD,BD,122.7
South Branch Potomac Petersburg,SB1-156,4/30/2019,M,3,260,222,82.3,5.9,10.8,3.9,BD,BD,BD,BD,BD,102.9
South Branch Potomac Petersburg,SB1-157,4/30/2019,F,2,268,264,63.8,4.2,6.4,2.2,BD,BD,BD,BD,BD,76.6
South Branch Potomac Petersburg,SB1-158,4/30/2019,M,6,347,536,48.5,3.3,6.3,2.8,BD,BD,BD,BD,BD,61
South Branch Potomac Petersburg,SB1-159,4/30/2019,F,2,239,175,33.6,2.4,4.2,1.5,BD,BD,BD,BD,BD,41.7
South Branch Potomac Petersburg,SB1-160,4/30/2019,M,2,267,250,90.6,5.2,10.9,3.8,BD,BD,BD,BD,BD,110.5
South Branch Potomac Petersburg,SB1-161,4/30/2019,M,2,282,287,79.7,4.9,10,4.1,BD,BD,BD,BD,BD,98.7
South Branch Potomac Petersburg,SB1-162,4/30/2019,M,6,410,982,115,6.9,17.2,6.4,BD,BD,BD,BD,BD,145.5
South Branch Potomac Petersburg,SB1-163,4/30/2019,M,3,285,320,75.4,4.3,7.9,2.9,BD,BD,BD,BD,BD,90.4
South Branch Potomac Petersburg,SB1-164,4/30/2019,M,5,361,657,110,7,15.2,6.5,BD,BD,BD,BD,BD,138.7
South Branch Potomac Petersburg,SB1-165,4/30/2019,F,2,229,137,62.1,3.9,7,2.3,BD,BD,BD,BD,BD,75.3
Swatara Creek,Swat-1,6/3/2014,F,8,472,1568,490,74.3,47.4,19.7,2,4.3,BD,BD,BD,637.7
Swatara Creek,Swat-2,6/3/2014,F,5,333,481,544,82.5,49.1,14.8,1.8,1.7,BD,BD,BD,693.9
Swatara Creek,Swat-4,6/3/2014,F,4,318,455,235,27.9,30.1,15.4,2.3,2.5,BD,BD,BD,313.2
Swatara Creek,Swat-5,6/3/2014,F,5,331,448,354,61.8,43.7,17.7,1.6,1.8,BD,BD,BD,480.6
Swatara Creek,Swat-7,6/3/2014,M,5,410,951,336,31.6,49.9,31.8,1.9,1.4,BD,BD,BD,452.6
Swatara Creek,Swat-8,6/3/2014,M,7,430,1117,313,39.2,61.8,40.9,1.6,1,BD,BD,BD,457.5
Swatara Creek,Swat-9,6/3/2014,M,9,475,1417,822,129,122,59.2,2.2,0.8,BD,BD,BD,1135.2
Swatara Creek,Swat-10,6/3/2014,M,7,422,991,666,62.9,85.7,51,1.8,0.7,BD,BD,BD,868.1
Swatara Creek,Swat-11,6/3/2014,M,7,400,805,664,118,116,58.1,1.8,0.9,BD,BD,BD,958.9
Swatara Creek,Swat-12,6/3/2014,M,7,375,596,148,35,40.8,21.8,1,1,BD,BD,BD,247.6
Swatara Creek,Swat-13,6/3/2014,M,8,485,1474,758,56.5,98.8,65,1.9,1,BD,BD,BD,981.2
Swatara Creek,Swat-14,6/3/2014,M,5,365,617,864,55.9,81.6,45,1.7,1.1,BD,BD,BD,1049.2
Swatara Creek,Swat-15,6/3/2014,M,4,331,492,696,34.2,52,36.4,2.3,1.9,BD,BD,BD,822.8
Swatara Creek,Swat-16,6/3/2014,M,ND,213,392,553,86.5,84.6,40,1.7,1.1,BD,BD,BD,766.9
Swatara Creek,Swat-17,6/3/2014,M,8,445,1143,472,43.4,77.1,49,1.6,BD,BD,BD,BD,643.1
Swatara Creek,Swat-18,6/3/2014,M,4,245,187,427,75.1,72.8,31.3,1.6,3.1,BD,BD,BD,610.9
Susquehanna River near Selinsgrove,SusSel-21,11/15/2017,M,4,408,982,368,20.7,36.6,22.8,0.6,BD,BD,BD,BD,448.7
Susquehanna River near Selinsgrove,SusSel-22,11/15/2017,F,6,447,1250,304,18.3,22,13.7,0.7,BD,BD,BD,BD,358.7
Susquehanna River near Selinsgrove,SusSel-23,11/15/2017,F,13,484,1755,229,13.3,14.5,7.9,0.8,BD,BD,BD,BD,265.5
Susquehanna River near Selinsgrove,SusSel-24,11/15/2017,F,4,375,598,251,13.1,20.7,12.6,0.8,BD,BD,BD,BD,298.2
Susquehanna River near Selinsgrove,SusSel-26,11/15/2017,M,4,410,898,124,8.9,17.4,10.1,1.1,BD,BD,BD,BD,161.5
Susquehanna River near Selinsgrove,SusSel-27,11/15/2017,F,8,448,1047,171,9.4,12.4,7.6,BD,BD,BD,BD,BD,200.4
Susquehanna River near Selinsgrove,SusSel-28,11/15/2017,F,9,440,1312,82.8,6.6,9.5,5.2,0.7,BD,BD,BD,BD,104.8
Susquehanna River near Selinsgrove,SusSel-29,11/15/2017,M,9,468,1590,273,15.4,30.3,19.2,BD,BD,BD,BD,BD,337.9
Susquehanna River near Selinsgrove,SusSel-30,11/15/2017,M,12,490,1369,136,6.7,10.5,7.3,BD,BD,BD,BD,BD,160.5
Susquehanna River near Selinsgrove,SusSel-31,11/15/2017,M,11,478,1398,147,10.1,20.4,13.2,1.2,BD,BD,BD,BD,191.9
Susquehanna River near Selinsgrove,SusSel-32,11/15/2017,F,5,441,1368,450,21.5,38.2,23.6,0.7,BD,BD,BD,BD,534
Susquehanna River near Selinsgrove,SusSel-33,11/15/2017,F,10,423,1270,188,12.1,14.4,10.1,0.9,BD,BD,BD,BD,225.5
Susquehanna River near Selinsgrove,SusSel-34,11/15/2017,M,7,435,1201,251,12.9,19.7,11.2,0.8,BD,BD,BD,BD,295.6
Susquehanna River near Selinsgrove,SusSel-35,11/15/2017,F,9,442,1327,256,15.3,22.4,14.6,BD,BD,BD,BD,BD,308.3
Susquehanna River near Selinsgrove,SusSel-36,11/15/2017,M,3,374,726,200,12,18.8,11.1,1.3,BD,BD,BD,BD,243.2
Susquehanna River near Selinsgrove,SusSel-38,11/15/2017,M,ND,336,513,332,18.4,28.6,15.9,0.8,0.7,BD,BD,BD,396.4
Susquehanna River near Selinsgrove,SusSel-39,11/15/2017,M,5,390,834,124,10.4,22.3,10.9,BD,BD,BD,BD,BD,167.6
Susquehanna River near Selinsgrove,SusSel-40,11/15/2017,M,2,275,280,121,10.4,17.5,7.3,BD,BD,BD,BD,BD,156.2
Cheat River,CHEAT-1,5/1/2019,M,8,416,844,89.2,9.1,32.7,14.4,BD,BD,BD,BD,BD,145.4
Cheat River,CHEAT-2,5/1/2019,M,9,378,716,135,10.4,32.6,13.7,BD,BD,BD,BD,BD,191.7
Cheat River,CHEAT-3,5/1/2019,M,11,400,794,141,9.9,33.4,14.4,BD,BD,BD,BD,BD,198.7
Cheat River,CHEAT-4,5/1/2019,M,11,392,823,230,15.2,59.5,26.3,BD,BD,BD,BD,BD,331
Cheat River,CHEAT-5,5/1/2019,M,8,293,293,55.8,5,20.3,9.1,BD,BD,BD,BD,BD,90.2
Cheat River,CHEAT-6,5/1/2019,M,7,342,483,63.2,5.9,21.7,10.9,BD,BD,BD,BD,BD,101.7
Cheat River,CHEAT-7,5/1/2019,M,8,365,596,50.1,4.3,17.9,7.2,BD,BD,BD,BD,BD,79.5
Cheat River,CHEAT-8,5/1/2019,M,9,329,442,71.4,6.3,19.4,8.5,BD,BD,BD,BD,BD,105.6
Cheat River,CHEAT-9,5/1/2019,M,8,320,364,33.6,3.5,16.7,8.1,BD,BD,BD,BD,BD,61.9
Cheat River,CHEAT-10,5/1/2019,F,6,282,263,42.5,3.3,8.6,3.5,BD,BD,BD,BD,BD,57.9
Cheat River,CHEAT-11,5/1/2019,M,9,354,510,165,13.2,40.4,14.9,BD,BD,BD,BD,BD,233.5
Cheat River,CHEAT-12,5/1/2019,M,7,359,594,63.8,4.8,17.7,8,BD,BD,BD,BD,BD,94.3
Cheat River,CHEAT-13,5/1/2019,M,11,358,561,56.8,4.5,23.1,10.8,BD,BD,BD,BD,BD,95.2
Cheat River,CHEAT-14,5/1/2019,M,8,302,338,137,11.7,39.7,16,BD,0.5,BD,BD,BD,204.9
Cheat River,CHEAT-15,5/1/2019,M,5,289,270,77.1,7.1,20.8,9.1,BD,BD,BD,BD,BD,114.1
Cheat River,CHEAT-16,5/1/2019,M,8,271,245,66.9,5.7,16.9,6.6,BD,BD,BD,BD,BD,96.1
Cheat River,CHEAT-17,5/1/2019,M,5,284,260,54.9,3.6,15.4,6.4,BD,BD,BD,BD,BD,80.3
Cheat River,CHEAT-18,5/1/2019,M,7,270,213,55.1,3.1,14.4,6.5,BD,BD,BD,BD,BD,79.2
Cheat River,CHEAT-19,5/1/2019,F,8,267,195,49.8,5.4,12.3,4.9,BD,BD,BD,BD,BD,72.4
Cheat River,CHEAT-20,5/1/2019,M,6,269,239,67.3,6.3,23.1,9.8,BD,BD,BD,BD,BD,106.5
Greenbrier River Seebert,GB1-21,5/11/2021,M,6,377,583,78.5,7.7,24.2,10.5,BD,BD,1.5,BD,BD,122.4
Greenbrier River Seebert,GB1-22,5/11/2021,M,7,365,631,45.2,4.8,13,6.1,0.3,0.2,1.3,BD,BD,70.9
Greenbrier River Seebert,GB1-23,5/11/2021,M,8,392,745,31.9,4.4,12.7,5.8,0.3,0.2,BD,BD,BD,55.2
Greenbrier River Seebert,GB1-24,5/11/2021,M,5,299,294,38.1,4.9,13.5,6,BD,0.3,2,BD,BD,64.8
Greenbrier River Seebert,GB1-29,5/11/2021,M,6,370,681,41.6,5.3,13.4,6,0.3,0.4,1.2,BD,0.2,68.5
Greenbrier River Seebert,GB1-31,5/11/2021,F,8,347,510,21.1,3.1,4.9,2.3,0.2,0.3,1.4,BD,BD,33.4
Greenbrier River Seebert,GB1-32,5/11/2021,F,6,323,427,53.8,5.4,9.1,3.6,0.4,BD,2.1,BD,0.3,74.5
Greenbrier River Seebert,GB1-33,5/11/2021,M,6,329,440,22.1,4,9.9,4.6,0.3,BD,1.2,BD,BD,42.1
Greenbrier River Seebert,GB1-35,5/11/2021,M,5,330,489,22.9,3.6,8.9,4.3,0.4,0.2,1.1,BD,BD,41.4
Greenbrier River Seebert,GB1-38,5/11/2021,M,5,284,269,17.9,2.8,6.7,3.6,0.3,BD,1.9,BD,BD,33.2
Greenbrier River Caldwell,GB2-21,5/10/2021,F,9,450,1213,62.1,8.2,5.1,4.1,BD,BD,1,0.5,BD,80.9
Greenbrier River Caldwell,GB2-22,5/10/2021,M,6,351,507,75.2,7,15.1,7.6,BD,0.5,1.1,0.6,BD,107
Greenbrier River Caldwell,GB2-23,5/10/2021,M,10,445,1128,105,8.8,13.6,9.8,0.2,0.1,BD,0.3,BD,137.8
Greenbrier River Caldwell,GB2-24,5/10/2021,M,5,370,672,116,31.3,15.9,28.1,BD,BD,BD,BD,BD,191.3
Greenbrier River Caldwell,GB2-25,5/10/2021,M,5,315,456,134,24.2,11.4,14.2,BD,0.8,BD,BD,BD,184.6
Greenbrier River Caldwell,GB2-30,5/10/2021,M,6,370,698,151,23.3,12.3,17.3,BD,BD,BD,BD,BD,203.9
Greenbrier River Caldwell,GB2-31,5/10/2021,F,3,282,294,27,3,5.3,2,BD,BD,1.5,0.7,BD,39.6
Greenbrier River Caldwell,GB2-34,5/10/2021,M,2,230,125,75,18.5,8.5,10.3,BD,BD,BD,0.9,BD,113.2
Greenbrier River Caldwell,GB2-36,5/10/2021,M,6,391,802,112,26.6,14.1,20.3,0.3,BD,0.9,0.5,BD,174.8
Greenbrier River Caldwell,GB2-37,5/10/2021,M,3,280,287,52.9,4.5,8.3,3.4,BD,BD,BD,BD,BD,69.2
